name,fmt,title,abstract,authors
Andreas Mayer,,,,
Anika Rettig,poster,The transcriptional landscape and the immune microenvironment of the testicular niche in pediatric B-ALL,"B-cell Acute Lymphoblastic Leukemia (B-ALL) is characterized by a blockage of B-cell progenitors differentiation in the bone marrow and abnormal proliferation of blast cells. Approximately 15% of patients relapse after first line therapy, with testicular relapses being the third most common site of relapse after the bone marrow and central nervous system. Long-term event-free survival often requires surgical removal or local irradiation of the testis, greatly impacting quality of life. The underlying mechanisms behind the nesting and survival of leukemic cells in the testis remain elusive. To uncover potential targeted therapeutic avenues, we performed a multi-modal molecular analysis of a cohort of relapse pediatric ALL, exploring the specific transcriptomic landscape and immune microenvironment of testicular relapse compared to bone marrow relapses. In this project, we aim to establish for the first time a comprehensive molecular profile of testicular re-ALL. Here, we performed clustering and differential gene expression analysis on high dimensional bulk RNA-seq data generated from a cohort of 35 relapsed pediatric ALL samples, identifying distinct gene expression signatures groups stratifying the testicular relapse group. Further, we explored the spatial context of key biomarkers in patient tissues by means of imaging mass cytometry (IMC). We developed a panel of 28 markers which enabled us to quantitatively capture the immune microenvironment composition within the leukemic niche. IMC data analysis was performed using the MICCRA pipeline developed in our group, providing a new tool for automating IMC analysis. Preliminary results suggest that M2 macrophages and several T cell subtypes (T helper, cytotoxic T cells, and regulatory T cells) are the main components of the re-ALL microenvironment, which appeared heterogeneous ranging from so-called immune deserts to highly infiltrated (hot) regions featuring tertiary lymphoid organs like structures. We currently investigate correlations between those unusual patterns with the clinical data and the cohort group profiling.","Narayanareddy CG & Pesic M, Rettig A, Pfau M, Kovacsovics A, Eckert C, Yaspo ML"
Anja Hess,poster,Non-disruptive monitoring of DNA methylation dynamics in cells,"Liquid biopsy, i.e. the collection and analysis of circulating cell-free DNA (cfDNA) from blood, has opened exciting avenues towards a universal cancer test from blood and other accessible specimens [1]. CfDNA is short, non-randomly fragmented DNA and thus assumed to mainly originate from apoptotic cells [2]. Additionally, active secretion through extracellular vesicles from living cells has been described [3]. Despite its great potential, cfDNA has not yet been fully exploited to study CpG DNA methylation of dynamic in vitro systems, such as differentiating organoids. During standard DNA methylation analysis, culture supernatant containing cfDNA is discarded. Thus, most analyses do not capture DNA from cells that recently underwent cell death. However, this material is potentially useful to dissect biological processes associated with e.g. apoptosis. Here, we present initial evidence that in vitro liquid biopsies accurately inform about the status of CpG DNA methylation without cell disruption. Together, in vitro liquid biopsy is a method that holds the potential to study DNA methylation landscapes with quality metrics comparable to matched genomic DNA.","Anja Hess, Helene Kretzmer, Alexander Meissner"
Anna A Monaco,poster,The prickly question of hedgehog spine evolution,,"Natalia Bartzoka, Anna A Monaco, Baiwei Lo, Magdalena Schindler, Amina Sultanova, Athanasia Tzika, Stefan Mundlos "
Anna Pitas,,,,
Anne-Dominique Gindrat,,,,
Asita Carola Stiege,,,,
Atsuhiro Taguchi,talk,Single-cell dCas9-activation screen identifies hepatic maturation regulators with zonal resolution,"The maturation of lineage-committed embryonic hepatocytes requires both the timed activation of gene regulatory networks (GRNs) and silencing of embryonic programs to achieve adult hepatic metabolic functions. The current knowledge of the key transcriptional regulators governing GRN rewiring during late development remains incomplete and limits our ability to derive functional hepatocytes in vitro.  To address this, we generated a developmental reference atlas and then employed a dCas9 activation screen in combination with single-cell transcriptomic readout on primary mouse embryonic hepatocytes, allowing for effect ranking among developmentally late-onset transcription regulators.  We identify Nr1i3 as a potent inducer of pericentrally expressed metabolic function-related genes and Nfix as a critical suppressor of embryonic signatures. Supplementation of liver zonation patterning signals together with these transcriptional regulators enhanced the expression of pericentrally zonated Cyp genes, emphasizing the importance of a microenvironment-targeted approach for inducing maturation.  Our screening and analysis therefore highlight regulatory mechanisms underlying organ maturation and offer general insights for improving the functionality of in vitro-derived cells. ","Atsuhiro Taguchi, Alexandre P. Magalhães, Helene Kretzmer, Lars Wittler, Denes Hnisz and Alexander Meissner"
Aybuge Altay,poster,PhD Student,"Annotating cell-types in scATAC-seg data is a challenging task due to the absence of a set of regions, like marker genes in scRNA-seg, that can be readily used for cell-type annotation. Current methods typically translate accessibility to expression space and rely on methods developed for scRNA-seg data for cell-type annotation. However, this approach makes strong biological assumptions that may not always hold true and does not fully exploit the unique characteristics of the scATAC-seg modality. To address this challenge, we propose a novel approach called scATAcat that leverages a large number of characterized bulk ATAC-seg data to annotate scATAC-seg data. To mitigate the inherent sparsity of single-cell data and make single cells comparable to bulk samples, we aggregate cells that belong to the same cluster and create so-called pseudobulk clusters. We then co-embed these pseudobulk clusters together with bulk samples in PCA space, with the idea that samples of the same cell-type will be projected closer. Finally, we annotate clusters by the cell-type of the closest bulk sample, using the distance as a measure of similarity. scATAcat noticeably resolves the cell-type annotations when applied to human primary blood and bone marrow data and performs comparably well with the existing methods demonstrating the strength of our strategy.","Aybuge Altay, Martin Vingron"
Aydan Bulut-Karslioglu,,,,
Bai-Wei Lo,talk,Genome-wide demographic analyses of balaenid whales revealed complex history of gene flow associated with past climate oscillation.,"The balaenid whale, consisting of three species of right whales and the bowhead whale, represents an ancient and highly endangered lineage of marine mammals. In order to elucidate the evolutionary history of balaenid whales with respect to gene flow, a comprehensive analysis based on whole-genome data was conducted for all species within this group. Employing population genomic methodologies, we revealed the polytomic nature of extant right whales, identified passage of historical trans-equatorial migration, and provided estimates to the age of the group. Furthermore, we investigated the impact of glacial cycles on the connectivity of bowhead whale populations. Through the utilization of multiple complementary approaches to detect gene flow, we identified and characterized gene flow events from bowhead whales to North Atlantic right whales, offering detailed insights into the process. Lastly, we assessed the phenotypic consequences of interspecies gene flow. The outcomes of our study shed light on the intricate evolutionary history of modern balaenid whales, which have been profoundly shaped by ancient climate events.","Bai-Wei Lo, Francisca Martinez-Real, Stefan Mundlos"
Beatrix Fauler,poster,Future Imaging Directions," At the microscopy research facility at the MPIMG we provide comprehensive support for a variety of imaging experiments and conditions. We are equipped with cutting edge instruments ranging from widefield epifluorescent to cryo-electron microscopes, allowing imaging at all scales and resolutions, from single molecules to organoids and tissues. We are also developing novel analytical tools and quantitative pipelines to support the research community at the institute beyond the imaging. The core is willing to support scientists at all career levels from project design to image acquisition and processing, so please join us to discuss your experiments in advance.  Please, feel free to reach out to us to philosophize about your biological questions, that maybe will become our next projects. We also encourage you to leave your ideas at our poster where we present some of our visions for the next steps of at the MPIMG. "," Beatrix Fauler, René Buschow, Rita Krauß and Thorsten Mielke"
Bernhard Herrmann,,,,
Blanka Majchrzycka,poster,,,
Brittany Melvin,poster,,,
Carla Frau,talk,Molecular Mechanisms of Ductular Reaction during progression of Non-alcoholic fatty liver disease (NAFLD) ,"Background: Ductular Reaction (DR) is characterized by the hyperplasia of intra-hepatic cholangiocytes following hepatic injury. This process is one of the hallmark of chronic liver disease progression. There are growing evidence that DR could increase the capacity of cholangiocyte to transdifferentiate into hepatocyte. Thus, DR could play a key role in liver regeneration. However, the precise molecular mechanisms underlying cholangiocyte activation and its consequences on hepatocyte injury and cellular plasticity remain elusive. To date, DR has been extensively investigated in animal models which replicate only part of disease onset and regeneration observed in the human liver.  Therefore, elucidating the mechanisms driving ductular reaction in human is crucial for the development of novel therapies aimed at blocking the progression of chronic liver disease.   Aim: In this study, our primary objective is to unravel the mechanisms governing cholangiocyte activation during NAFLD and to understand how DR influences liver repair and disease progression.  Results: To study DR in the context of human disease, we first performed single-nucleus RNA sequencing on biopsies obtained from patients (n=110) with progressive NAFLD. These analyses revealed that cholangiocytes exhibit markedly elevated levels of collagen receptors especially ITGb1 during disease progression thereby suggesting that the interaction of cholangiocytes with the extracellular matrix (ECM) could play a pivotal role. This interaction was validated by immunostainings performed on human NAFLD and liver cancer sections. To gain deeper insights into the mechanisms governing cholangiocyte activation, we then developed an ex-vivo model of DR by growing Intra-Hepatic Cholangiocyte Organoids (ICOs) in Collagen hydrogel. Using this culture system, we then showed that collagen is necessary and sufficient for the activation of cholangiocytes. More importantly, inhibition of the ITGb1-Collagen signaling axis block cholangiocyte activation and reversed the process of DR. These results validate that Collagen accumulation during fibrosis serves as a permissive component for cholangiocyte growth. Finally, we established that the Hippo/YAP pathway acts as the primary mediator of this interplay thereby explaining a potential link between ECM change and cellular plasticity.    Conclusions: This study reveals the mechanisms by which changes in cellular environment during disease progression can increase proliferation and plasticity.  This knowledge will pave the way to the development of new therapies aiming to control DR and regeneration. Our forthcoming research will focus on exploring the role of Collagen in hepatocytes and implementing in-vivo treatment strategies. ","Authors: Carla Frau1,2, Christopher Gribben3, Vasileios Galanakis3, Tom Deshayes1,2, Katja Püstow1,2, Eleanor Williams3, Irina Morianu3, Ludovic Vallier1,2 Affiliations: 1. BIH, Berlin Institute of Health-Charité.  2. Max Planck Institute for Molecular Genetics. 3. Wellcome-MRC Cambridge Stem Cell Institute."
Cecília Llaó Cid,poster,A kinetic model of gene expresison in brain development and evolution,"How is time encoded in the products of gene expression in the brain? This critical question still needs to be answered despite the intense research on gene expression activity during neuronal development. It has been known since the 20th century that time is a central organizing feature of brain development, as the formation of neocortical layers in the mammalian brain is synchronized to the birthdate of its neurons. Despite this knowledge, most research has utilized snapshots of gene expression from bulk or single-cell RNA-seq and mass spectrometry analysis. We want to address this knowledge gap by recording the mRNA and protein synthesis and degradation timeline in vivo. We hypothesize that different transcription and translation kinetics guide the diversification and specification of neuronal lineages in the brain, within and between species: proteins being synthesized at a specific speed and time in a neuro progenitor will dictate its fate, its tissue position, morphology, connectivity, and function in the circuit.  We focus on an evolutionarily recent brain region, the dorsal pallium, in two species with evolutionarily divergent pallium structures: mouse and chicken.  Our novel approach exploits a methodological innovation: live embryo culture that enables kinetic pulse labelling of the transcriptome and proteome. This system grants us direct access to the developmental system over a time course as we are able to label mRNA and protein synthesis with metabolic analogs and subsequently image transcription and translation hot spots (via click chemistry) and calculate kinetic variations (via SLAM-seq and SLIAC-MS).  Interestingly, neurogenesis in the mouse dorsal pallium structure starts concomitantly with the vascularization of the tissue. We hypothesize that blood vessel development and blood-brain barrier (BBB) maturation, providing the neuronal precursors with amino acids and nucleotides, impacts transcription and translation kinetics and might be a key component of gene expression. We employed a whole tissue clearing method to visualize and quantify neocortical vascularization throughout neurogenic stages. Furthermore, we will gain an in-depth understanding of BBB development and its relationship with neuronal gene expression by analyzing endothelial cell (EC) metabolism and transport pathways using EC proteomic studies. We hypothesize that the comparison between mouse and chicken brain vascularization might yield important evolutionary insights. ","Oliani E, Couce M, Llaó-Cid C, Brombacher N, Kraushar M. "
Celeste Franconi,poster,Generation of a versatile tool for in vivo and  in vitro detection of R-loops,"R-loops are one of the most common and frequent source of genome instability. However, we currently lack the tools to detect them in vivo, precluding their real-time evaluation. Furthermore, the only monoclonal antibody that detects RNA-DNA hybrids in vitro cross reacts with ssRNA, making it not appropriate for immunofluorescence imaging of de novo R- loops. In an effort to resolve this deficit and open up new research opportunities, we generated a live cell R-loop reporter cell line. We validated its functionality in live and fixed cell super resolution microscopy and in Cut&Tag, demonstrating its ability to detect de novo R-loops in vivo and in vitro, in single cells, and at the genome-wide level. This R-loop reporter cell line will now allow important questions to be answered, such as the incidence of R-loops in screens perturbing gene expression and their involvement in oncogenic transformation","Celeste Franconi, Serkan Meynaderi, Sarah Kinkley"
Chethan Gunjur Narayanareddy,poster,The transcriptional landscape and the immune microenvironment of the testicular niche in pediatric B-ALL,"B-cell Acute Lymphoblastic Leukemia (B-ALL) is characterized by a blockage of B-cell progenitors differentiation in the bone marrow and abnormal proliferation of blast cells. Approximately 15% of patients relapse after first line therapy, with testicular relapses being the third most common site of relapse after the bone marrow and central nervous system. Long-term event-free survival often requires surgical removal or local irradiation of the testis, greatly impacting quality of life. The underlying mechanisms behind the nesting and survival of leukemic cells in the testis remain elusive. To uncover potential targeted therapeutic avenues, we performed a multi-modal molecular analysis of a cohort of relapse pediatric ALL, exploring the specific transcriptomic landscape and immune microenvironment of testicular relapse compared to bone marrow relapses. In this project, we aim to establish for the first time a comprehensive molecular profile of testicular re-ALL. Here, we performed clustering and differential gene expression analysis on high dimensional bulk RNA-seq data generated from a cohort of 35 relapsed pediatric ALL samples, identifying distinct gene expression signatures groups stratifying the testicular relapse group. Further, we explored the spatial context of key biomarkers in patient tissues by means of imaging mass cytometry (IMC). We developed a panel of 28 markers which enabled us to quantitatively capture the immune microenvironment composition within the leukemic niche. IMC data analysis was performed using the MICCRA pipeline developed in our group, providing a new tool for automating IMC analysis. Preliminary results suggest that M2 macrophages and several T cell subtypes (T helper, cytotoxic T cells, and regulatory T cells) are the main components of the re-ALL microenvironment, which appeared heterogeneous ranging from so-called immune deserts to highly infiltrated (hot) regions featuring tertiary lymphoid organs like structures. We currently investigate correlations between those unusual patterns with the clinical data and the cohort group profiling.","Narayanareddy CG & Pesic M, Rettig A, Pfau M, Kovacsovics A, Eckert C, Yaspo ML"
Chuck Haggerty,,,,
Claudia Giesecke-Thiel,poster,Comprehensive Flow Cytometry Services: From Cell Sorting to Advancing Cell Cycle Analysis,"The Flow Cytometry Service Facility provides operator-assisted cell sorting through FACS and comprehensive flow cytometric analysis. We further offer expert consultation on flow cytometry techniques, general cell isolation, MACS, project planning (including staining panels and fluorescent protein selection), advice on panel and detector optimization, and use of controls for high quality data. Additionally, we provide support by reviewing and applying established protocols with access to various in-house protocols to support diverse research projects.   Recently, there has been a growing demand for cell cycle analyses. Although the staining of cells for this purpose using flow cytometry is a widely used and seemingly straightforward technique, it comes with challenges, often resulting in less-than-ideal staining outcomes. We will elucidate common problems and outline possible solutions.  Furthermore, traditional staining protocols typically necessitate extended fixation and incubation times to achieve DNA staining with adequate resolution for assessing cell cycle phases. We propose a faster DNA staining method that allows for the assessment of G1, S, and G2/M phases while also enabling the analysis of viable cells, including surface marker profiling on unfixed cells. This approach involves a brief heat shock followed by staining with DAPI or Hoechst33342, in addition to surface staining. So far, we have only tested this method on HEK293 cells, but we are keen to extend this protocol to other cell lines. So please contact us if you are interested in sharing your cell lines with us or obtaining more information. ","Melanie Piedavent-Salomon, Erwin Weiss, Uta Marchfelder, and Claudia Giesecke-Thiel"
Claudia Thurow,,,,
Clemens Kohl,talk,Joint clustering and visualization of cells and genes for single-cell transcriptomics,"Single-cell RNA-sequencing (scRNA-seq) allows researchers to study the heterogeneity of biological samples. Current methods however mainly focus on clustering the cells and attempt to determine the genes that define the clusters post-hoc through differential gene expression analysis and similar methods. This approach however often results in misleadingly low p-values and can find differences even in completely random data. Biclustering promises to solve this problem by simultaneously finding cell clusters and their respective marker genes. However, existing biclustering algorithms struggle with the higher noise and large size of scRNA-seq data and lack tools for a practical and concise visualization of results.  We here present two approaches on how Correspondence Analysis (CA) can be used to co-cluster cells and their respective marker genes in a single step, thereby solving the problems of current methods.  In order to tackle the task of identifying and annotating cell types in scRNA-seq data we developed Correspondence analysis based biclustering on Networks (CAbiNet). We build a graph connecting cells and genes in the noise and dimension reduced CA space by utilizing the Association Ratio to quantify the extent of how much the observed gene expression deviates from the expected expression in a cell. Clustering on this graph not only yields cell clusters and their cell type specific genes, but additionally allows us to visualize the cells and their defining marker genes in a single 2D plot that enables quick annotation and exploration of the obtained clusters. An additional advantage of this approach is that the graph could be extended to include additional data modalities such as scATAC-seq data.   Given the increasing size of scRNA-seq data, fast and highly scalable methods are required for analysis. We can furthermore exploit the highly directional geometry induced by CA to simultaneously cluster cells and their marker genes based on a total least squares regression approach that enables the analysis of even the largest datasets. ","Clemens Kohl, Yan Zhao, Martin Vingron"
Daniel Ibrahim,,,,
Daniel Koile,poster,GenIO: a phenotype-genotype analysis web server for clinical genomics of rare diseases,"GenIO is a web-server, designed to assist clinical genomics researchers and medical doctors in the diagnostic process of rare genetic diseases. The tool identifies the most probable variants causing a rare disease, using the genomic and clinical information provided by a medical practitioner. Variants identified in a whole-genome, whole-exome or target sequencing studies are annotated, classified and filtered by clinical significance. Candidate genes associated with the patient’s symptoms, suspected disease and complementary findings are identified to obtain a small manageable number of the most probable recessive and dominant candidate gene variants associated with the rare disease case. Additionally, following the American College of Medical Genetics and Genomics and the Association of Molecular Pathology (ACMG-AMP) guidelines and recommendations, all potentially pathogenic variants that might be contributing to disease and secondary findings are identified.  ","Daniel Koile, Marta Cordoba, Maximiliano de Sousa Serro, Marcelo Andres Kauffman & Patricio Yankilevich"
Daniel Minatti Felismino,,,,
Daniela Piechotta,,,,
Denes Hnisz,,,,
Dhanur Iyer,,,,
Diana Mojica ,,,,
Dmitrii Zagrebin,talk,RiboSTS: a technology for combined single-cell sequencing of rRNA and mRNA,"The ribosome is a multi-megadalton RNA-protein complex responsible for the translation of mRNAs into functional proteins, the final step of gene expression in every living cell. Ribosome biogenesis is one of the most complex and energy-demanding biological processes, which makes the ribosome number an excellent marker of a cell state. Studies performed in the Kraushar lab and by other groups have demonstrated that adjusting ribosome abundance is a universal mechanism for regulating gene expression, which is observed in various cellular processes including embryonic brain development, stem cell differentiation, and cancer. Nevertheless, little progress has been made recently in methods for measuring ribosome abundance and heterogeneity. In fact, all existing techniques exhibit one of the following flaws: they either measure bulk cell populations, or suffer from low throughput. RiboSTS (ribosome signatures targeted by high-throughput single-cell sequencing) is a new technology that overcomes both of these problems by sequencing rRNA in single cells in a high-throughput manner. In addition to rRNA, RiboSTS simultaneously captures the entire mRNA transcriptome for each individual cell. This dual sequencing approach allows RiboSTS to provide information about cell type and cell state signatures in a depth that has never been achieved before. Besides serving as a powerful tool for studying ribosome biogenesis and rRNA sequence variation on a single-cell level, RiboSTS will likely find use in clinical research for its ability to identify cells with upregulated ribosome number, such as cancer cells, or studying antibiotics resistance in prokaryotes which is usually caused by rRNA mutations. Making RiboSTS possible requires solving a series of challenges including cDNA synthesis from a highly structured RNA and careful balancing of sequencing reads between abundant rRNA and scarce mRNA, without compromising the quantification accuracy. Thus far, we performed a series of preliminary experiments, introduced innovations in the current single-cell RNA-seq protocol, and created a first draft of the RiboSTS.","Dmitrii Zagrebin, Matthew Kraushar"
Donald Buczek ,,,,
Dr. René Buschow,poster,Imaging Genetics,"As microscopy service group, our mission is to support all members of the institute in planning and performing their imaging tasks at all levels. This includes the optimization of sample preparation and experimental design, user training for operating the microscopes up to developing diverse strategies for acquiring complex 2D, 3D and 4D imaging data as well as the implementation of advanced image processing pipelines and statistical analyses, which are crucial to access and quantify meaningful biological information. We thereby see our service as a highly interactive and collaborative process between us as facility and you as member of our broad user community.  This poster summarizes a small selection of the projects we supported over the last year, addressing genetics at various levels starting with the earliest event in the life cycle, the fertilization of an egg cell. We implemented various methods to analyze the cell cycle in thousands of individual cells as well as deciphering the mechanisms of genome regulation using a broad range of different cell types, stem cells and 3D model systems.  ","René Buschow, Beatrix Fauler, Rita Krauß and Thorsten Mielke"
Edda Einfeldt,,,,
Ekin Deniz Aksu,poster,Primate enhancers: gene regulation and evolution,"The poster will show identification of enhancers in primate species along with cell type and TFBS annotations. In addition, it includes a new approach for enhancer-mediated gene regulatory network identification, using single cell RNA-seq data.","Ekin Deniz Aksu, Martin Vingron"
Ekta Shah,poster,Batch Correction using Surrogate Variables in scRNA-seq,,Ekta Shah
Eleonora Oliani,poster,A kinetic model of gene expression in brain development & evolution,"How is time encoded in the products of gene expression in the brain? This critical question still needs to be answered despite the intense research on gene expression activity during neuronal development. It has been known since the 20th century that time is a central organizing feature of brain development, as the formation of neocortical layers in the mammalian brain is synchronized to the birthdate of its neurons. Despite this knowledge, most research has utilized snapshots of gene expression from bulk or single-cell RNA-seq and mass spectrometry analysis. We want to address this knowledge gap by recording the mRNA and protein synthesis and degradation timeline in vivo. We hypothesize that different transcription and translation kinetics guide the diversification and specification of neuronal lineages in the brain, within and between species: proteins being synthesized at a specific speed and time in a neuro progenitor will dictate its fate, its tissue position, morphology, connectivity, and function in the circuit.  We focus on an evolutionarily recent brain region, the dorsal pallium, in two species with evolutionarily divergent pallium structures: mouse and chicken.  Our novel approach exploits a methodological innovation: live embryo culture that enables kinetic pulse labelling of the transcriptome and proteome. This system grants us direct access to the developmental system over a time course as we are able to label mRNA and protein synthesis with metabolic analogs and subsequently image transcription and translation hot spots (via click chemistry) and calculate kinetic variations (via SLAM-seq and SLIAC-MS).  Interestingly, neurogenesis in the mouse dorsal pallium structure starts concomitantly with the vascularization of the tissue. We hypothesize that blood vessel development and blood- brain barrier (BBB) maturation, providing the neuronal precursors with amino acids and nucleotides, impacts transcription and translation kinetics and might be a key component of gene expression. We employed a whole tissue clearing method to visualize and quantify neocortical vascularization throughout neurogenic stages. Furthermore, we will gain an in- depth understanding of BBB development and its relationship with neuronal gene expression by analyzing endothelial cell (EC) metabolism and transport pathways using EC proteomic studies.   We   hypothesize   that   the   comparison   between   mouse   and   chicken   brain vascularization might yield important evolutionary insights.","Oliani E, Couce M, Llaó-Cid C, Brombacher N, Kraushar M."
Elodie Limberg,poster,High throughput mapping of functional interactions between transcription factors and cis-regulatory elements at the Xic,"High-throughput mapping of functional interactions between cis regulatory elements and transcription factors at the X-inactivation centre  Gene regulatory networks control the transcriptional output of key developmental genes. Each edge within the network arises from functional interactions between trans-acting factors such as transcription factors and DNA binding sequences in responsive cis-regulatory elements. The setup of gene regulatory networks within the spatiotemporal context of development is marked by a high degree of complexity. Therefore, the elucidation of cellular decision making remains challenging. Although massively parallel reporter assays (MPRA) have enabled high-throughput functional screening of thousands of cis-regulatory elements, they are unable to identify the trans-acting factor governing their activation. Similarly, ChIP-seq and CUT&Tag techniques are a powerful means to profile TF binding genome wide, but do not provide information on the functionality of the interaction. To address these limitations, we will develop a novel technique that combines CRISPR/Cas9 based activation and inhibition with a massively parallel reporter assay to catalogue the trans-acting factors that functionally modulate the regulatory activity of cis-regulatory elements. To this end, we will screen trans-acting factors against cis-regulatory elements in a highly parallel fashion to generate a map of positive functional interactors along the testing candidates. We will apply this technique to solve the functional transcription factor-regulatory element interactome at the X-inactivation centre, which underlies Xist regulation.  ","Elodie Limberg, Till Schwaemmle, Edda G. Schulz"
Emel Comak,poster,Integrative Analysis of Enhancer Hijacking Events in Cancer,"This study is on inferring enhancer hijacking in cancer. Enhancer hijacking is a phenomenon in which active enhancers, as a part of regulatory elements of transcribed genes, are relocated to the proximity of another gene that usually plays a role in another cellular pathway. Such hijacking events are more common in cancer as a way of altering the oncogenic pathways. The goal of this project is to develop a computational pipeline that ranks structural variations based on their potential involvement in enhancer hijacking events. The key step of the project involves identifying cell-type-specific enhancer clusters associated with cancer-related breakpoints. This approach highlights changes in tissue specificity of enhancers surrounding structural variation breakpoints, potentially leading to alterations in the expression of nearby genes. Numerous analyses of structural variations aim to identify enhancer hijacking events specific to tumors by initially focusing on differential gene expression. However, obtaining accurate differential gene expression data from tumor samples can be challenging and thus we believe this study brings a different approach by utilizing tissue specific enhancers around the breakpoints. In our analysis of the PCAWG structural variation dataset, we observed a frequent occurrence of somatic variations in close proximity to established oncogenes, namely TERT, CDKN2A, and ERG. We investigated a case where one prostate-specific enhancer cluster rearranged next to several oncogenes in prostate cancer. We also investigated another case where ZNF521 potentially hijacked 4 pancreas-specific enhancers in different pancreatic cancer patients. ","Emel Comak, Stefan Haas"
Eva Verzani,,,,
